Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BG34,BG34 - Yugoiztochen,1271446,1264314,1259419,1248850,1246609,1245052,1239103,1233154,1223755,1215607,1209686,1203369,1157711,1147097,1137028,1128102,1119050,1110344,1102099,1094253,1087181,1078597,1072850,1067981,1063690,1058515,1052575,1046125,1039549,1032079
BG4 ,BG4 - Yugozapadna i yuzhna tsentralna Bulgaria,4036970,3993580,3957444,3905089,3897955,3890860,3878487,3862322,3843766,3831860,3826244,3820954,3699428,3690083,3680894,3671470,3660706,3649934,3639314,3630374,3623520,3614156,3602340,3591131,3581237,3571048,3557401,3541408,3525826,3512453
BG41,BG41 - Yugozapaden,2216396,2205038,2192041,2175593,2169161,2165613,2159237,2151772,2143882,2141745,2142700,2143110,2107264,2113323,2118410,2122105,2124449,2126182,2127498,2129855,2132634,2133731,2131233,2128783,2127618,2125212,2121185,2115344,2108394,2102205
BG42,BG42 - Yuzhen tsentralen,1820574,1788542,1765403,1729496,1728794,1725247,1719250,1710550,1699884,1690115,1683544,1677844,1592164,1576760,1562484,1549365,1536257,1523752,1511816,1500519,1490886,1480425,1471107,1462348,1453619,1445836,1436216,1426064,1417432,1410248
CZ -,CZ - Tschechien,10362102,10304607,10312548,10325697,10334013,10333161,10321344,10309137,10299125,10289621,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800
CZ0 ,CZ0 - Cesko,10362102,10304607,10312548,10325697,10334013,10333161,10321344,10309137,10299125,10289621,10278098,10232027,10201182,10192649,10195347,10198855,10223577,10254233,10343422,10425783,10462088,10486731,10505445,10516125,10512419,10538275,10553843,10578820,10610055,10649800
CZ01,CZ01 - Praha,,,1216889,1217315,1217023,1214584,1209855,1204953,1200455,1193270,1186855,1170476,1157876,1157443,1158738,1161334,1169892,1173933,1195521,1214300,1227932,1234037,1241664,1246780,1243201,1259079,1267449,1280508,1294513,1308632
CZ02,CZ02 - Strední Cechy,,,1111244,1110114,1108935,1108007,1106738,1105234,1105964,1108465,1111354,1121591,1123895,1128603,1135690,1143925,1157881,1174964,1201524,1230405,1247330,1264986,1279345,1291816,1302336,1315299,1326876,1338982,1352795,1369332
CZ03,CZ03 - Jihozápad,,,1181555,1181934,1183471,1183736,1182277,1181005,1179839,1179187,1177982,1176097,1173715,1173537,1174257,1173457,1176931,1181719,1191156,1202477,1205834,1207027,1207847,1209298,1210176,1212423,1214450,1217411,1221012,1226805
CZ04,CZ04 - Severozápad,,,1127613,1129161,1129990,1130267,1130160,1130368,1130789,1131683,1131974,1124813,1122089,1121734,1121756,1122142,1121590,1120755,1130335,1134887,1133425,1132252,1131191,1128490,1125429,1123265,1120654,1118126,1116766,1115685
CZ05,CZ05 - Severovýchod,,,1488681,1491757,1493970,1493626,1492873,1492317,1491424,1490914,1489407,1487400,1483483,1481433,1479468,1478378,1481215,1485575,1494631,1503865,1506467,1508735,1508867,1507980,1506503,1506813,1507209,1508527,1510726,1513693
CZ06,CZ06 - Jihovýchod,,,1659514,1662566,1664136,1665042,1664018,1662657,1661341,1660441,1658761,1647278,1643202,1640225,1641297,1642020,1643258,1646898,1657593,1666778,1671993,1675872,1678250,1679857,1680287,1682748,1684500,1687764,1692123,1696941
CZ07,CZ07 - Strední Morava,,,1246021,1249343,1251383,1252299,1246421,1245190,1243377,1241750,1240355,1239089,1236388,1233376,1231188,1228319,1227045,1227080,1229618,1230437,1229931,1229117,1227668,1225302,1222655,1220972,1219394,1217623,1216234,1215413
CZ08,CZ08 - Moravskoslezsko,,,1281031,1283507,1285105,1285600,1289002,1287413,1285936,1283911,1281410,1265283,1260534,1256298,1252953,1249280,1245765,1243309,1243044,1242634,1239176,1234705,1230613,1226602,1221832,1217676,1213311,1209879,1205886,1203299
DK -,DK - Dänemark,5135409,5146469,5162126,5180614,5196642,5215718,5251027,5275121,5294860,5313577,5330020,5349212,5368354,5383507,5397640,5411405,5427459,5447084,5475791,5511451,5534738,5560628,5580516,5602628,5627235,5659715,5707251,5748769,5781190,5806081
