Code,GEO/TIME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DED5,DED5 - Leipzig,,,,,,,,,,,,,,,,,,,,,,966434,971030,978674,986504,999168,1016485,1027484,1037782,1043293
DEE ,DEE - Sachsen-Anhalt,2964971,2873919,2823307,2796969,2777949,2759213,2738928,2723620,2701690,2674490,2648737,2615375,2580626,2548911,2522941,2494437,2469716,2441787,2412472,2381872,2356219,2297386,2276736,2259393,2244577,2235548,2245470,2236252,2223081,2208321
DEE0,DEE0 - Sachsen-Anhalt,2964971,2873919,2823307,2796969,2777949,2759213,2738928,2723620,2701690,2674490,2648737,2615375,2580626,2548911,2522941,2494437,2469716,2441787,2412472,2381872,2356219,2297386,2276736,2259393,2244577,2235548,2245470,2236252,2223081,2208321
DEF ,DEF - Schleswig-Holstein,2594608,2626140,2648540,2679572,2694888,2708392,2725461,2742293,2756473,2766057,2777275,2789761,2804249,2816507,2823171,2828760,2832950,2834254,2837373,2834260,2832027,2800134,2802266,2806531,2815955,2830864,2858714,2881926,2889821,2896712
DEF0,DEF0 - Schleswig-Holstein,2594608,2626140,2648540,2679572,2694888,2708392,2725461,2742293,2756473,2766057,2777275,2789761,2804249,2816507,2823171,2828760,2832950,2834254,2837373,2834260,2832027,2800134,2802266,2806531,2815955,2830864,2858714,2881926,2889821,2896712
DEG ,DEG - Thüringen,2683877,2611326,2572046,2545787,2532763,2517776,2503785,2491119,2478148,2462836,2449082,2431255,2411387,2392040,2373157,2355280,2334575,2311140,2289219,2267763,2249882,2195344,2181603,2170460,2160840,2156759,2170714,2158128,2151205,2143145
DEG0,DEG0 - Thüringen,2683877,2611326,2572046,2545787,2532763,2517776,2503785,2491119,2478148,2462836,2449082,2431255,2411387,2392040,2373157,2355280,2334575,2311140,2289219,2267763,2249882,2195344,2181603,2170460,2160840,2156759,2170714,2158128,2151205,2143145
EE -,EE - Estland,1570599,1567749,1554878,1511303,1476952,1448075,1425192,1405996,1393074,1379237,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820
EE0 ,EE0 - Eesti,1570599,1567749,1554878,1511303,1476952,1448075,1425192,1405996,1393074,1379237,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820
EE00,EE00 - Eesti,1570599,1567749,1554878,1511303,1476952,1448075,1425192,1405996,1393074,1379237,1401250,1392720,1383510,1375190,1366250,1358850,1350700,1342920,1338440,1335740,1333290,1329660,1325217,1320174,1315819,1314870,1315944,1315635,1319133,1324820
IE -,IE - Irland,3506970,3520977,3547492,3569367,3583154,3597617,3620065,3654955,3693582,3732201,3777565,3832783,3899702,3964191,4028851,4111672,4208156,4340118,4457765,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240
IE0 ,IE0 - Éire/Ireland,3506970,3520977,3547492,3569367,3583154,3597617,3620065,3654955,3693582,3732201,3777565,3832783,3899702,3964191,4028851,4111672,4208156,4340118,4457765,4521322,4549428,4570881,4589287,4609779,4637852,4677627,4726286,4784383,4830392,4904240
IE04,IE04 - Northern and Western,,,,,,,,,,,,,,,,,,,,,,,832082,834236,833748,833830,839204,848383,856252,867947
IE05,IE05 - Southern,,,,,,,,,,,,,,,,,,,,,,,1547097,1556247,1563179,1567206,1575504,1591718,1604865,1624381
IE06,IE06 - Eastern and Midland,,,,,,,,,,,,,,,,,,,,,,,2210108,2219296,2240925,2276591,2311578,2344282,2369275,2411912
IE01,IE01 - Border Midland and Western (NUTS 2013),,,,,,,,969402,975844,983495,996005,1010395,1032151,1053785,1074951,1098814,1125639,1160174,1191149,1215848,1227429,1237715,1241885,1247029,1247591,1250075,1259673,1274988,,
IE02,IE02 - Southern and Eastern (NUTS 2013),,,,,,,,2685553,2717738,2748706,2781560,2822388,2867551,2910406,2953900,3012858,3082517,3179944,3266616,3305474,3321999,3333166,3347402,3362750,3390261,3427552,3466613,3509395,,
EL -,EL - Griechenland,10120892,10272691,10367163,10430958,10489871,10535973,10588332,10629267,10693250,10747768,10775627,10835989,10888274,10915770,10940369,10969912,11004716,11036008,11060937,11094745,11119289,11123392,11086406,11003615,10926807,10858018,10783748,10768193,10741165,10724599
EL5 ,EL5 - Voreia Ellada,,2909430,2919145,2934735,2951444,2964367,2979124,2990427,3011571,3029190,3035844,3056832,3071673,3084854,3096001,3107860,3120409,3132848,3142421,3154458,3164428,3169412,3164162,3147178,3131326,3115933,3098520,3089659,3080730,3074204
EL51,EL51 - Anatoliki Makedonia Thraki,,572736,573249,573890,574716,576350,579792,579075,581443,582635,582750,584283,589489,592085,594512,597258,600034,602965,605411,608639,610112,611573,612074,610102,608214,606490,604504,602799,601175,599723
EL52,EL52 - Kentriki Makedonia,,1716604,1725005,1737962,1752491,1763273,1775368,1787395,1804842,1820514,1828425,1846753,1852039,1862475,1871566,1880517,1890244,1899242,1905904,1913980,1921906,1925437,1922590,1912624,1903360,1893878,1883339,1880122,1875996,1873777
EL53,EL53 - Dytiki Makedonia,,290700,291812,291794,291857,291394,291160,290252,289817,288888,287156,286007,287813,288125,287800,287631,287215,286855,286696,286672,286450,285899,284061,281324,278706,276423,273843,271488,269222,267008
EL54,EL54 - Ipeiros,,329390,329079,331089,332380,333350,332804,333705,335469,337153,337513,339789,342332,342169,342123,342454,342916,343786,344410,345167,345960,346503,345437,343128,341046,339142,336834,335250,334337,333696
EL6 ,EL6 - Kentriki Ellada,,2754165,2771221,2776690,2780576,2780489,2780681,2780731,2785707,2789365,2789799,2795600,2817245,2804208,2794715,2787794,2784285,2785908,2786445,2791181,2796046,2799110,2793619,2779373,2767446,2755169,2740697,2730218,2718469,2708105
EL61,EL61 - Thessalia,,734763,737897,739239,740145,740298,740541,740286,740666,740603,739421,739503,745339,743648,742574,741599,741765,743210,743919,745569,746976,747690,745839,741593,737686,733663,729442,725874,722065,718640
EL62,EL62 - Ionia Nisia,,189847,193943,195196,196482,196987,198097,199106,201027,202741,203658,205299,208075,207415,206877,206688,206703,207149,207508,208161,208675,209221,209131,208241,207664,207059,206141,205431,204562,203869
EL63,EL63 - Dytiki Ellada,,699166,703526,705916,707666,708189,708251,708263,709273,708256,707200,706491,706346,703115,700215,697975,696051,694901,693549,692990,692269,690904,687935,682583,677727,673263,668258,663970,659470,655189
EL64,EL64 - Sterea Ellada,,552070,553910,553594,553172,552208,551316,550474,551830,553155,553882,556263,562848,559105,556835,555282,554659,555149,555577,557291,559655,561693,561670,560093,559214,557753,555830,555761,555623,555960
EL65,EL65 - Peloponnisos,,578319,581945,582745,583111,582807,582476,582602,582911,584610,585638,588044,594637,590925,588214,586250,585107,585499,585892,587170,588471,589602,589044,586863,585155,583431,581026,579182,576749,574447
EL3 ,EL3 - Attiki,3533023,3612748,3665865,3700526,3730628,3755616,3782407,3802708,3831464,3857302,3871527,3895899,3894259,3916875,3935254,3952793,3971441,3982602,3990727,3999457,4002871,3992912,3963887,3912849,3863763,3822843,3781274,3773559,3756453,3742235
EL30,EL30 - Attiki,3533023,3612748,3665865,3700526,3730628,3755616,3782407,3802708,3831464,3857302,3871527,3895899,3894259,3916875,3935254,3952793,3971441,3982602,3990727,3999457,4002871,3992912,3963887,3912849,3863763,3822843,3781274,3773559,3756453,3742235
EL4 ,EL4 - Nisia Aigaiou Kriti,973960,996348,1010932,1019007,1027223,1035501,1046120,1055401,1064508,1071911,1078457,1087658,1105097,1109833,1114399,1121465,1128581,1134650,1141344,1149649,1155944,1161958,1164738,1164215,1164272,1164073,1163257,1174757,1185513,1200055
EL41,EL41 - Voreio Aigaio,191923,202907,201249,200088,199226,198878,199086,198782,198142,197415,196904,196774,199375,199375,199160,199177,199187,198191,198675,199517,200179,200831,200591,199478,198581,197695,196654,203700,211137,221098
EL42,EL42 - Notio Aigaio,249156,254971,265804,270920,275888,280421,286632,292262,297434,301961,305954,311212,315878,317315,318813,321798,324712,327471,329525,331815,332652,333983,334780,334652,334802,334865,334791,338383,340870,344027
EL43,EL43 - Kriti,532881,538470,543879,547999,552109,556202,560402,564357,568932,572535,575599,579672,589844,593143,596426,600490,604682,608988,613144,618317,623113,627144,629367,630085,630889,631513,631812,632674,633506,634930
ES -,ES - Spanien,38853227,38881416,39051336,39264034,39458489,39639726,39808374,39971329,40143449,40303568,40470182,40665545,41035278,41827838,42547451,43296338,44009971,44784666,45668939,46239273,46486619,46667174,46818219,46727890,46512199,46449565,46440099,46528024,46658447,46937060
ES1 ,ES1 - Noroeste (ES),4381920,4358682,4353277,4352051,4349164,4344299,4336670,4328195,4321020,4313116,4304175,4297107,4295881,4309136,4322012,4338130,4354637,4374557,4403112,4428402,4438080,4440147,4438607,4419822,4393883,4369890,4343531,4326008,4312067,4304287
ES11,ES11 - Galicia,2751383,2735558,2731875,2731249,2730117,2727113,2722355,2717003,2712444,2707901,2702471,2698025,2696809,2705159,2711586,2720689,2730107,2741074,2754766,2767469,2772466,2773411,2771916,2761989,2747226,2734656,2720102,2710216,2703149,2700441
ES12,ES12 - Principado de Asturias,1102849,1095557,1092874,1091116,1088497,1086001,1082714,1079198,1076012,1072219,1068287,1064851,1062786,1062326,1062412,1062753,1063488,1065287,1071079,1076276,1077102,1075869,1074308,1067797,1058975,1049875,1040925,1034302,1027624,1022205
ES13,ES13 - Cantabria,527688,527567,528528,529686,530550,531185,531601,531994,532564,532996,533417,534231,536286,541651,548014,554688,561042,568196,577267,584657,588512,590867,592383,590036,587682,585359,582504,581490,581294,581641
ES2 ,ES2 - Noreste (ES),4092834,4079052,4080396,4086361,4090342,4093995,4096039,4098423,4101909,4104176,4106942,4112359,4128238,4170715,4208305,4252747,4296092,4347797,4417748,4463939,4476659,4485479,4489468,4472917,4450140,4441474,4432933,4436372,4440753,4461983
ES21,ES21 - País Vasco,2116888,2106405,2103318,2102202,2100382,2097947,2094857,2091894,2089757,2086864,2084535,2082971,2082896,2092644,2103103,2115260,2127689,2142602,2159415,2174077,2179521,2183136,2184696,2177006,2167166,2165100,2164066,2167323,2170868,2177880
ES22,ES22 - Comunidad Foral de Navarra,519631,519500,522071,525349,528520,531732,534844,538100,541557,544948,548379,552060,557456,567892,576346,584365,592137,602835,616710,627286,633023,637100,640014,638948,636450,636402,637486,640353,643866,649946
ES23,ES23 - La Rioja,263021,263376,264477,265665,266807,268055,269078,270184,271423,272665,273828,275313,277989,284607,291082,298045,302703,308117,316197,319788,319934,320858,320951,318647,315223,313569,312810,312624,312884,313571
ES24,ES24 - Aragón,1193294,1189771,1190530,1193145,1194633,1196261,1197260,1198245,1199172,1199699,1200200,1202015,1209897,1225572,1237774,1255077,1273563,1294243,1325426,1342788,1344181,1344385,1343807,1338316,1331301,1326403,1318571,1316072,1313135,1320586
ES3 ,ES3 - Comunidad de Madrid,4937156,4947735,4984663,5030383,5074384,5116658,5157603,5198753,5242444,5284618,5329606,5379087,5478611,5638804,5766554,5866219,5953546,6075013,6226185,6327559,6373546,6394252,6425522,6414620,6378297,6385298,6424275,6476838,6549520,6641649
ES30,ES30 - Comunidad de Madrid,4937156,4947735,4984663,5030383,5074384,5116658,5157603,5198753,5242444,5284618,5329606,5379087,5478611,5638804,5766554,5866219,5953546,6075013,6226185,6327559,6373546,6394252,6425522,6414620,6378297,6385298,6424275,6476838,6549520,6641649
ES4 ,ES4 - Centro (ES),5285311,5270620,5272242,5278415,5281661,5284029,5284410,5282994,5282770,5279038,5275355,5274492,5276021,5321117,5369049,5426910,5487080,5567286,5663215,5710293,5731479,5746664,5747956,5713936,5667307,5632469,5588323,5554453,5521604,5508034
ES41,ES41 - Castilla y León,2559546,2548508,2541467,2535358,2528348,2520690,2512008,2502823,2494206,2483618,2472869,2463479,2454754,2463616,2471132,2482797,2494698,2514206,2541720,2549172,2547401,2545301,2537685,2518560,2495689,2478079,2454454,2435951,2418556,2407733
ES42,ES42 - Castilla-la Mancha,1660507,1659371,1667663,1678672,1688537,1698263,1707702,1716289,1725584,1733813,1742456,1752002,1763477,1797150,1833543,1874017,1917445,1971208,2031840,2066428,2084468,2099064,2105935,2094406,2075197,2062767,2048900,2040977,2032595,2034877
ES43,ES43 - Extremadura,1065258,1062741,1063112,1064385,1064776,1065076,1064700,1063882,1062980,1061607,1060030,1059011,1057790,1060351,1064374,1070096,1074937,1081872,1089655,1094693,1099610,1102299,1104336,1100970,1096421,1091623,1084969,1077525,1070453,1065424
ES5 ,ES5 - Este (ES),10611855,10626406,10684985,10756106,10822864,10886751,10949013,11011384,11075081,11138927,11204230,11280460,11417897,11762375,12067654,12378095,12662186,12958491,13282098,13478543,13536798,13584119,13625356,13578044,13488505,13461637,13476164,13527428,13601874,13729620
ES51,ES51 - Cataluña,6064741,6061507,6082495,6110576,6136308,6161209,6184327,6208373,6233350,6257793,6283101,6314849,6380492,6556900,6712748,6870811,7010859,7151682,7311146,7427092,7463488,7493263,7514991,7480921,7416237,7396991,7408290,7441284,7488718,7566431
ES52,ES52 - Comunidad Valenciana,3841820,3855982,3882777,3913214,3942324,3969401,3996734,4022992,4049388,4076380,4103816,4135183,4192277,4322066,4441941,4567163,4681033,4801628,4928095,4981284,4989631,4999192,5009650,4987011,4956427,4939674,4932347,4935182,4946233,4974969
ES53,ES53 - Illes Balears,705294,708917,719713,732316,744232,756141,767952,780019,792343,804754,817313,830428,845128,883409,912965,940121,970294,1005181,1042857,1070167,1083679,1091664,1100715,1110112,1115841,1124972,1135527,1150962,1166923,1188220
ES6 ,ES6 - Sur (ES),8060622,8106086,8165167,8230190,8290654,8345945,8397995,8446930,8497403,8543352,8590812,8644057,8734780,8869993,9009635,9181079,9356812,9515445,9684627,9805047,9884894,9951642,10005372,10023317,10019222,10032653,10039664,10051947,10055581,10084586
ES61,ES61 - Andalucía,6898939,6937107,6981694,7030276,7074929,7115498,7152485,7186527,7221919,7253141,7285992,7323031,7391401,7490871,7596534,7730696,7865788,7986600,8118570,8212968,8276008,8332080,8377810,8393175,8388875,8399618,8403774,8408976,8410095,8427405
ES62,ES62 - Región de Murcia,1037838,1044764,1058075,1072937,1087209,1100679,1114394,1128146,1142030,1155675,1169114,1184118,1206614,1242626,1276816,1313496,1351106,1385717,1419563,1441787,1453543,1459075,1461925,1461983,1461803,1463773,1466474,1472991,1475569,1487663
ES63,ES63 - Ciudad Autónoma de Ceuta (ES),67466,67610,67981,68449,68957,69318,69735,69990,70311,70547,70855,71183,70868,71109,71538,71977,72807,74161,75250,76927,79294,81621,83845,84539,84674,84692,84652,85034,85209,84829
ES64,ES64 - Ciudad Autónoma de Melilla (ES),56379,56605,57417,58528,59559,60450,61381,62267,63143,63989,64851,65725,65897,65387,64747,64910,67111,68967,71244,73365,76049,78866,81792,83620,83870,84570,84764,84946,84708,84689
ES7 ,ES7 - Canarias (ES),1483529,1492835,1510606,1530528,1549420,1568049,1586644,1604650,1622822,1640341,1659062,1677983,1703850,1755698,1804242,1853158,1899618,1946077,1991954,2025490,2045163,2064871,2085938,2105234,2114845,2126144,2135209,2154978,2177048,2206901
ES70,ES70 - Canarias (ES),1483529,1492835,1510606,1530528,1549420,1568049,1586644,1604650,1622822,1640341,1659062,1677983,1703850,1755698,1804242,1853158,1899618,1946077,1991954,2025490,2045163,2064871,2085938,2105234,2114845,2126144,2135209,2154978,2177048,2206901
FR -,FR - Frankreich,56577000,56840661,57110533,57369161,57565008,57752535,57935959,58116018,58298962,60158533,60545022,60979315,61424036,61864088,62292241,62772870,63229635,63645065,64007193,64350226,64658856,64978721,65276983,65600350,66165980,66458153,66638391,66809816,66918941,67012883
FR1 ,FR1 - Île de France,10644665,10695556,10753276,10793414,10833223,10858975,10883848,10895427,10912622,10946012,11019991,11102824,11185563,11270074,11350290,11442143,11532398,11598866,11659260,11728240,11786234,11852851,11898502,11959807,12027565,12082144,12117132,12174880,12210524,12244807
FR10,FR10 - Île de France,10644665,10695556,10753276,10793414,10833223,10858975,10883848,10895427,10912622,10946012,11019991,11102824,11185563,11270074,11350290,11442143,11532398,11598866,11659260,11728240,11786234,11852851,11898502,11959807,12027565,12082144,12117132,12174880,12210524,12244807
FRB ,FRB - Centre - Val de Loire,2369808,2381407,2393043,2403487,2410394,2418315,2424326,2432034,2438205,2440295,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586,2570548,2577435,2578592,2577866,2576252,2570916,2565258
FRB0,FRB0 - Centre - Val de Loire,2369808,2381407,2393043,2403487,2410394,2418315,2424326,2432034,2438205,2440295,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586,2570548,2577435,2578592,2577866,2576252,2570916,2565258
FRC ,FRC - Bourgogne - Franche-Comté,2705826,2710540,2715591,2720016,2722947,2727049,2728671,2729120,2729147,2728086,2734330,2742346,2749892,2756739,2762934,2771934,2779461,2792562,2802519,2810648,2813878,2816174,2816814,2819783,2820623,2820940,2818338,2811423,2802590,2793333
FRC1,FRC1 - Bourgogne,1609399,1611236,1613265,1614605,1615153,1615509,1614875,1614401,1613233,1610833,1612818,1615651,1618437,1620757,1622456,1626190,1628837,1633891,1638588,1642440,1642115,1642734,1641130,1642687,1642551,1641205,1637941,1632887,1626272,1619728
FRC2,FRC2 - Franche-Comté,1096427,1099304,1102326,1105411,1107794,1111540,1113796,1114719,1115914,1117253,1121512,1126695,1131455,1135982,1140478,1145744,1150624,1158671,1163931,1168208,1171763,1173440,1175684,1177096,1178072,1179735,1180397,1178536,1176318,1173605
FRD ,FRD - Normandie,3126859,3139258,3151246,3162794,3171102,3179350,3185902,3192472,3198166,3202449,3211503,3221806,3231900,3240840,3249220,3259102,3267848,3278145,3293092,3303822,3310448,3315077,3322756,3328364,3335645,3339131,3335929,3330478,3322583,3313340
FRD1,FRD1 - Basse-Normandie,1390890,1394761,1397801,1402650,1405337,1408316,1411452,1416140,1418774,1421947,1426928,1432400,1437801,1442916,1447429,1452425,1456793,1461429,1467425,1470880,1473494,1475684,1477209,1478712,1479378,1479484,1477349,1474257,1469690,1464500
FRD2,FRD2 - Haute-Normandie,1735969,1744497,1753445,1760144,1765765,1771034,1774450,1776332,1779392,1780502,1784575,1789406,1794099,1797924,1801791,1806677,1811055,1816716,1825667,1832942,1836954,1839393,1845547,1849652,1856267,1859647,1858580,1856221,1852893,1848840
FRE ,FRE - Nord-Pas-de-Calais - Picardie,5770671,5783059,5797478,5812705,5822230,5832496,5843500,5849947,5851772,5855448,5860802,5869901,5879893,5887707,5893957,5904641,5912999,5922030,5931091,5944354,5953001,5960170,5973098,5987883,6006156,6009976,6006870,6003815,5992448,5977437
FRE1,FRE1 - Nord-Pas-de-Calais,3961703,3965393,3971196,3977782,3981783,3986346,3991531,3994535,3995437,3997467,3997864,4001142,4005577,4008628,4010548,4015613,4018644,4021676,4024490,4033197,4038157,4042015,4050756,4060741,4076061,4077886,4074448,4072379,4063653,4052299
FRE2,FRE2 - Picardie,1808968,1817666,1826282,1834923,1840447,1846150,1851969,1855412,1856335,1857981,1862938,1868759,1874316,1879079,1883409,1889028,1894355,1900354,1906601,1911157,1914844,1918155,1922342,1927142,1930095,1932090,1932422,1931436,1928795,1925138
FRF ,FRF - Alsace - Champagne-Ardenne - Lorraine,5274064,5288277,5303373,5323379,5339076,5353077,5364143,5374950,5378869,5387509,5400871,5416747,5432715,5446445,5458878,5475270,5490092,5506616,5521452,5531118,5532530,5539035,5548955,5552388,5554645,5559051,5555186,5549586,5538416,5525291
FRF1,FRF1 - Alsace,1622810,1635430,1647964,1662967,1675733,1687475,1699339,1710779,1719985,1732588,1743955,1756078,1768054,1779575,1791145,1803402,1815493,1827248,1837087,1843053,1845687,1852325,1859869,1868183,1872949,1879265,1884150,1889589,1892251,1894144
FRF2,FRF2 - Champagne-Ardenne,1346963,1348133,1347817,1348898,1349476,1350114,1349022,1347927,1346318,1343266,1342007,1341878,1341635,1340851,1339597,1339400,1338850,1339487,1338004,1337953,1335923,1336053,1339270,1339008,1339299,1338255,1333248,1328134,1321546,1314964
FRF3,FRF3 - Lorraine,2304291,2304714,2307592,2311514,2313867,2315488,2315782,2316244,2312566,2311655,2314909,2318791,2323026,2326019,2328136,2332468,2335749,2339881,2346361,2350112,2350920,2350657,2349816,2345197,2342397,2341531,2337788,2331863,2324619,2316183
FRG ,FRG - Pays-de-la-Loire,3055197,3071600,3090225,3110784,3128438,3145757,3164039,3182305,3200459,3219960,3248994,3281679,3314649,3347675,3379784,3415391,3450413,3482594,3510170,3539048,3571495,3601113,3632614,3660852,3690833,3718512,3737632,3757600,3772852,3787400
FRG0,FRG0 - Pays-de-la-Loire,3055197,3071600,3090225,3110784,3128438,3145757,3164039,3182305,3200459,3219960,3248994,3281679,3314649,3347675,3379784,3415391,3450413,3482594,3510170,3539048,3571495,3601113,3632614,3660852,3690833,3718512,3737632,3757600,3772852,3787400
FRH ,FRH - Bretagne,2794317,2803483,2811473,2822722,2830583,2840680,2853664,2870354,2888237,2904075,2927612,2954324,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3199066,3217767,3237097,3258707,3276543,3293850,3306529,3318904,3326992,3333720
FRH0,FRH0 - Bretagne,2794317,2803483,2811473,2822722,2830583,2840680,2853664,2870354,2888237,2904075,2927612,2954324,2981765,3009249,3037077,3066585,3094534,3120288,3149701,3175064,3199066,3217767,3237097,3258707,3276543,3293850,3306529,3318904,3326992,3333720
FRI ,FRI - Aquitaine - Limousin - Poitou-Charentes,5114287,5132928,5150556,5167099,5177699,5191946,5203511,5218947,5236483,5257954,5296850,5340843,5386308,5431745,5476513,5526990,5574821,5627671,5671076,5708497,5745486,5773078,5808594,5844177,5879144,5911482,5935603,5956978,5972150,5986318
FRI1,FRI1 - Aquitaine,2795610,2810508,2824048,2837490,2845808,2855720,2864475,2876822,2888793,2906748,2933223,2962914,2993132,3023922,3054587,3088196,3119778,3150890,3177625,3206137,3232352,3254233,3285970,3316889,3343326,3370578,3393297,3414585,3432480,3450045
FRI2,FRI2 - Limousin,723460,721882,720921,719702,718530,716942,715315,714047,712602,711471,713249,715796,718716,721351,723906,727487,730920,737001,740743,741785,742771,741072,738633,737509,738120,738031,736015,734528,732313,729981
FRI3,FRI3 - Poitou-Charentes,1595217,1600538,1605587,1609907,1613361,1619284,1623721,1628078,1635088,1639735,1650378,1662133,1674460,1686472,1698020,1711307,1724123,1739780,1752708,1760575,1770363,1777773,1783991,1789779,1797698,1802873,1806291,1807865,1807357,1806292
FRJ ,FRJ - Languedoc-Roussillon - Midi-Pyrénées,4546249,4580630,4615465,4651399,4676452,4703840,4736347,4769512,4807490,4842680,4900326,4962851,5030703,5099077,5167552,5240791,5310966,5371117,5419946,5473597,5518106,5573466,5626858,5683878,5730753,5774185,5808435,5845102,5872889,5899209
FRJ1,FRJ1 - Languedoc-Roussillon,2115168,2135522,2153832,2175024,2192819,2209034,2229405,2249187,2273724,2292405,2322072,2353629,2388723,2424518,2459969,2497718,2534144,2560870,2581718,2610890,2636350,2670046,2700266,2729721,2751592,2772683,2793303,2810383,2825236,2838966
FRJ2,FRJ2 - Midi-Pyrénées,2431081,2445108,2461633,2476375,2483633,2494806,2506942,2520325,2533766,2550275,2578254,2609222,2641980,2674559,2707583,2743073,2776822,2810247,2838228,2862707,2881756,2903420,2926592,2954157,2979161,3001502,3015132,3034719,3047653,3060243
FRK ,FRK - Auvergne - Rhône-Alpes,6668168,6708765,6750446,6790892,6812295,6837322,6862646,6890849,6918402,6949608,7000751,7057821,7115944,7173919,7231833,7295515,7357284,7405206,7459092,7518004,7578078,7634223,7695264,7757595,7820966,7877698,7916889,7948287,7977170,8005882
FRK1,FRK1 - Auvergne,1321761,1319717,1317402,1315977,1314015,1312232,1310888,1310231,1309619,1309374,1312227,1315944,1319800,1323406,1327104,1331779,1335938,1339247,1341863,1343964,1347387,1350682,1354104,1357668,1360461,1362367,1363392,1364156,1363209,1362576
FRK2,FRK2 - Rhône-Alpes,5346407,5389048,5433044,5474915,5498280,5525090,5551758,5580618,5608783,5640234,5688524,5741877,5796144,5850513,5904729,5963736,6021346,6065959,6117229,6174040,6230691,6283541,6341160,6399927,6460505,6515331,6553497,6584131,6613961,6643306
FRL ,FRL - Provence-Alpes-Côte d'Azur,4257244,4293499,4326663,4356875,4383592,4405312,4426194,4451004,4479644,4502385,4541508,4584379,4629496,4675056,4719132,4768564,4815232,4864015,4882913,4889053,4899155,4916069,4935576,4953675,4983438,5007977,5021928,5030890,5039966,5048405
FRL0,FRL0 - Provence-Alpes-Côte d'Azur,4257244,4293499,4326663,4356875,4383592,4405312,4426194,4451004,4479644,4502385,4541508,4584379,4629496,4675056,4719132,4768564,4815232,4864015,4882913,4889053,4899155,4916069,4935576,4953675,4983438,5007977,5021928,5030890,5039966,5048405
FRM ,FRM - Corse,249645,251659,251698,253595,256977,258416,259168,259097,259466,260152,264539,269273,274093,279027,283972,289092,294118,299209,302966,305674,309693,314486,316257,320208,324212,327283,330455,334938,338273,341554
FRM0,FRM0 - Corse,249645,251659,251698,253595,256977,258416,259168,259097,259466,260152,264539,269273,274093,279027,283972,289092,294118,299209,302966,305674,309693,314486,316257,320208,324212,327283,330455,334938,338273,341554
FRY ,FRY - RUP FR - Régions ultrapériphériques françaises,,,,,,,,,,,,,,,,,,,,,,,,,2138022,2157332,2169599,2170683,2181172,2190929
FRY1,FRY1 - Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,437713,435293,433674,429856,425587,420941,416474
FRY2,FRY2 - Martinique,,,,,,,,,,380863,383575,386542,389302,391676,393852,395982,397732,397730,397693,396404,394173,392291,388364,385551,383911,380877,376480,372594,368050,363484
FRY3,FRY3 - Guyane,,,,,,,,,,155760,162018,168614,176638,184792,193167,199206,205954,213031,219266,224469,229040,237549,239648,244118,252338,259865,269352,268700,276127,283539
FRY4,FRY4 - La Réunion,,,,,,,,,,703820,716314,729010,740207,750840,761630,772907,781962,794107,808250,816364,821136,828581,833944,835103,842767,850727,852924,853659,856148,857961
FRY5,FRY5 - Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,223713,232189,240987,250143,259906,269471
FR2 ,FR2 - Bassin Parisien (NUTS 2013),10261997,10297700,10331653,10364707,10386572,10409438,10426094,10442246,10452257,10454824,10479387,10509872,10539266,10565815,10588961,10620966,10649457,10678796,10707873,10733962,10751395,10768854,10789084,10807749,10825025,10829273,10831912,10830914,,
FR21,FR21 - Champagne-Ardenne (NUTS 2013),1346963,1348133,1347817,1348898,1349476,1350114,1349022,1347927,1346318,1343266,1342007,1341878,1341635,1340851,1339597,1339400,1338850,1339487,1338004,1337953,1335923,1336053,1339270,1339008,1339299,1338255,1336535,1334453,,
FR22,FR22 - Picardie (NUTS 2013),1808968,1817666,1826282,1834923,1840447,1846150,1851969,1855412,1856335,1857981,1862938,1868759,1874316,1879079,1883409,1889028,1894355,1900354,1906601,1911157,1914844,1918155,1922342,1927142,1930095,1932090,1933719,1934171,,
FR23,FR23 - Haute-Normandie (NUTS 2013),1735969,1744497,1753445,1760144,1765765,1771034,1774450,1776332,1779392,1780502,1784575,1789406,1794099,1797924,1801791,1806677,1811055,1816716,1825667,1832942,1836954,1839393,1845547,1849652,1856267,1859647,1862637,1865332,,
FR24,FR24 - Centre (FR) (NUTS 2013),2369808,2381407,2393043,2403487,2410394,2418315,2424326,2432034,2438205,2440295,2450121,2461778,2472978,2484288,2494279,2507246,2519567,2526919,2531588,2538590,2548065,2556835,2563586,2570548,2577435,2578592,2580581,2582302,,
